timestamp,up,down,left,right,total_key,id
2025-04-02 21:49:49,29,30,19,22,100,2
2025-04-02 21:49:58,0,23,0,0,23,3
2025-04-02 21:55:12,3,2,2,4,11,4
2025-04-02 21:55:55,10,1,2,9,22,5
2025-04-02 22:06:41,14,6,10,12,42,6
2025-04-04 09:11:48,21,14,27,30,92,7
2025-04-04 11:34:26,2,2,3,2,9,8
2025-04-04 11:43:27,3,4,3,3,13,10
2025-04-04 13:19:23,8,8,13,16,45,11
2025-04-04 13:22:16,2,2,2,2,8,12
2025-04-04 13:25:22,21,18,22,29,90,13
2025-04-04 13:28:35,3,1,3,2,9,14
2025-04-04 13:29:26,1,0,3,3,7,15
2025-04-04 13:33:47,2,1,1,2,6,16
2025-04-04 13:37:06,1,1,4,2,8,17
2025-04-04 13:40:14,2,1,4,2,9,18
2025-04-04 13:40:52,2,1,0,1,4,19
2025-04-04 13:41:18,2,0,0,1,3,20
2025-04-04 13:45:57,6,4,4,5,19,21
2025-04-04 13:46:26,2,1,2,3,8,22
2025-04-04 13:50:37,3,2,2,4,11,23
2025-04-04 13:52:26,1,0,1,1,3,24
2025-04-04 13:53:08,3,1,2,2,8,25
2025-04-04 14:04:05,2,2,1,2,7,26
2025-04-04 14:18:01,5,2,7,8,22,27
2025-04-04 14:20:44,5,5,4,3,17,28
2025-04-04 14:22:28,11,10,14,14,49,29
2025-04-04 14:26:36,7,7,6,10,30,30
2025-04-04 14:32:38,11,6,9,9,35,31
2025-04-04 14:34:52,6,6,10,13,35,32
2025-04-04 14:39:57,3,1,3,5,12,33
2025-04-04 14:41:08,8,8,6,9,31,34
2025-04-05 11:55:11,20,17,20,33,90,35
2025-04-05 17:12:20,6,5,5,5,21,36
2025-04-05 20:01:05,0,0,0,0,0,37
2025-04-05 20:02:19,16,17,22,30,85,38
2025-04-05 20:07:13,1,0,1,1,3,39
2025-04-05 20:07:26,4,2,5,4,15,40
2025-04-05 20:13:11,20,19,21,23,83,41
2025-04-06 11:27:19,13,12,20,20,65,42
2025-04-06 12:44:17,6,7,8,8,29,43
2025-04-06 12:59:57,17,14,24,21,76,44
2025-04-07 11:55:38,2,3,3,2,10,45
2025-04-07 11:57:05,0,0,0,0,0,46
2025-04-07 12:12:11,5,3,6,7,21,47
2025-04-07 12:14:20,2,1,2,0,5,48
2025-04-07 12:19:54,2,1,1,3,7,49
2025-04-07 12:20:23,3,2,3,2,10,50
2025-04-07 12:24:41,7,6,7,13,33,51
2025-04-07 12:26:05,5,6,10,13,34,52
2025-04-07 12:26:50,2,0,1,1,4,53
2025-04-07 12:28:22,1,0,1,0,2,54
2025-04-07 12:31:44,4,5,3,4,16,55
2025-04-07 12:41:58,11,12,30,25,78,56
2025-04-07 12:42:57,14,13,15,27,69,57
2025-04-07 12:47:14,17,15,31,27,90,58
2025-04-09 09:37:43,56,50,57,62,225,59
2025-04-09 09:47:33,16,16,21,26,79,60
2025-04-09 10:05:31,7,3,5,6,21,61
2025-04-09 10:06:44,22,20,19,22,83,62
2025-04-09 10:22:58,63,21,30,23,28,63
2025-04-09 10:39:00,3,2,2,3,10,65
2025-04-09 11:43:21,3,4,6,4,17,66
2025-04-09 18:47:56,24,24,34,28,110,67
2025-04-13 21:48:30,4,4,2,6,16,68
2025-04-20 18:21:17,1,0,3,3,7,69
2025-04-20 22:23:14,18,21,20,32,91,70
2025-04-20 22:27:58,7,8,11,13,39,71
2025-04-20 22:30:56,14,13,25,32,84,72
2025-04-20 22:31:38,10,11,8,14,43,73
