timestamp, up, down, left, right, total_key
2025-04-02 21:45:35,371,255,624,512,1762
2025-04-02 21:49:49,29,30,19,22,100
2025-04-02 21:49:58,0,23,0,0,23
2025-04-02 21:55:12,3,2,2,4,11
2025-04-02 21:55:55,10,1,2,9,22
2025-04-02 22:06:41,14,6,10,12,42
2025-04-04 09:11:48,21,14,27,30,92
2025-04-04 11:34:26,2,2,3,2,9
2025-04-04 11:42:59,0,0,0,0,0
2025-04-04 11:43:27,3,4,3,3,13
2025-04-04 13:19:23,8,8,13,16,45
2025-04-04 13:22:16,2,2,2,2,8
2025-04-04 13:25:22,21,18,22,29,90
2025-04-04 13:28:35,3,1,3,2,9
2025-04-04 13:29:26,1,0,3,3,7
2025-04-04 13:33:47,2,1,1,2,6
2025-04-04 13:37:06,1,1,4,2,8
2025-04-04 13:40:14,2,1,4,2,9
2025-04-04 13:40:52,2,1,0,1,4
2025-04-04 13:41:18,2,0,0,1,3
2025-04-04 13:45:57,6,4,4,5,19
2025-04-04 13:46:26,2,1,2,3,8
2025-04-04 13:50:37,3,2,2,4,11
2025-04-04 13:52:26,1,0,1,1,3
2025-04-04 13:53:08,3,1,2,2,8
2025-04-04 14:04:05,2,2,1,2,7
2025-04-04 14:18:01,5,2,7,8,22
2025-04-04 14:20:44,5,5,4,3,17
2025-04-04 14:22:28,11,10,14,14,49
2025-04-04 14:26:36,7,7,6,10,30
2025-04-04 14:32:38,11,6,9,9,35
2025-04-04 14:34:52,6,6,10,13,35
2025-04-04 14:39:57,3,1,3,5,12
2025-04-04 14:41:08,8,8,6,9,31
2025-04-05 11:55:11,20,17,20,33,90
2025-04-05 17:12:20,6,5,5,5,21
2025-04-05 20:01:05,0,0,0,0,0
2025-04-05 20:02:19,16,17,22,30,85
2025-04-05 20:07:13,1,0,1,1,3
2025-04-05 20:07:26,4,2,5,4,15
2025-04-05 20:13:11,20,19,21,23,83
