session_start, session_end, total_score, sandwich, egg fried, chicken fried, lamb fried
2025-04-02 00:16:10,2025-04-02 00:16:59,151,0,1,1,1
2025-04-02 00:21:05,2025-04-02 00:21:56,126,1,0,1,1
2025-04-02 00:23:23,2025-04-02 00:23:58,97,1,0,0,1
2025-04-02 00:31:59,2025-04-02 00:32:36,95,0,1,1,0
2025-04-02 00:34:09,2025-04-02 00:34:54,101,0,0,1,1
2025-04-02 20:50:40,2025-04-02 20:51:33,155,1,1,0,1
2025-04-02 20:58:43,2025-04-02 20:59:31,86,0,1,1,0
2025-04-02 21:44:34,2025-04-02 21:45:35,145,1,1,0,1
2025-04-04 09:10:21,2025-04-04 09:11:48,85,0,1,0,1
2025-04-04 13:24:23,2025-04-04 13:25:22,98,0,1,1,1
2025-04-05 20:01:16,2025-04-05 20:02:19,152,1,1,0,1
2025-04-05 20:12:42,2025-04-05 20:13:11,0,0,0,0,0
